subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,delta_sampled_top1_success_rate,rank1_to_not1,not1_to_rank1
7,cycle44_subj07_margin_low_1sess_150ep,516,39095,0.04955466,0.04992516,327,-0.00037049875,2.0,0.8,1.2,1.0,-0.0045025684,-0.0016426817,-0.0028598867,1.0,-0.19999999999999996,1,0
7,cycle44_subj07_margin_low_1sess_150ep,517,39289,0.060774975,0.04529677,310,0.015478205,1.0,1.0,1.0,1.0,0.00213914,-0.004803136,0.006942276,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,518,39298,0.056121897,0.04309489,666,0.013027009,1.0,1.0,1.0,1.0,-0.0017833374,-0.0029634684,0.001180131,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,519,39369,0.047601946,0.047894258,146,-0.00029231235,2.0,0.8571428571428571,1.1428571428571428,1.0,0.00036053732,-0.010037363,0.0103979,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,520,39402,0.0669908,0.054760285,480,0.0122305155,1.0,1.0,1.0,1.0,-0.0015669316,0.0005441271,-0.0021110587,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,521,39509,0.0447475,0.059703987,134,-0.0149564855,22.0,0.0,7.111111111111111,8.0,0.0015833601,-0.0033135228,0.004896883,-2.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,522,39547,0.055003546,0.054139,189,0.00086454675,1.0,1.0,1.0,1.0,-0.0024889782,-0.0018318295,-0.00065714866,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,523,39553,0.051132116,0.06966561,567,-0.018533494,4.0,0.5,1.6,1.5,-0.000676509,0.003718838,-0.004395347,2.0,-0.19999999999999996,0,0
7,cycle44_subj07_margin_low_1sess_150ep,524,39841,0.062649384,0.05480925,947,0.007840134,1.0,1.0,1.0,1.0,0.001750622,-0.004024856,0.0057754777,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,525,39997,0.057104558,0.0538398,250,0.0032647587,1.0,1.0,1.0,1.0,0.0016603433,-0.0010514148,0.002711758,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,526,40153,0.051387325,0.053911332,11,-0.002524007,3.0,0.36363636363636365,1.7272727272727273,2.0,0.0019599237,0.0024739802,-0.00051405653,1.0,-0.09090909090909088,0,0
7,cycle44_subj07_margin_low_1sess_150ep,527,40235,0.034669805,0.046446472,158,-0.011776667,10.0,0.125,4.375,4.0,1.7743558e-05,-0.0006954707,0.0007132143,-9.0,0.125,0,0
7,cycle44_subj07_margin_low_1sess_150ep,528,40423,0.056796286,0.04126192,36,0.015534367,1.0,1.0,1.0,1.0,0.00047156587,-0.00015954301,0.0006311089,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,529,40548,0.03795115,0.06163198,967,-0.023680832,11.0,0.0,3.875,4.0,0.0023613572,0.0051008128,-0.0027394556,-5.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,530,40575,0.05964971,0.048186973,689,0.011462737,1.0,1.0,1.0,1.0,0.0029254109,0.0054362603,-0.0025108494,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,531,40721,0.031156972,0.053138793,499,-0.02198182,109.0,0.0,35.125,37.5,-0.004002221,0.0021673478,-0.0061695687,59.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,532,40770,0.058685567,0.050243393,180,0.008442175,1.0,1.0,1.0,1.0,2.8889626e-05,-0.004042167,0.004071057,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,533,40840,0.058723435,0.052140333,388,0.006583102,1.0,1.0,1.0,1.0,-0.0011614002,-0.0043361187,0.0031747185,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,534,40846,0.033938613,0.047440134,567,-0.013501521,20.0,0.0,7.25,6.5,-0.005943056,-0.003741216,-0.0022018403,-1.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,535,40909,0.05467473,0.05333945,641,0.0013352782,1.0,1.0,1.0,1.0,-0.0006168559,0.0031454787,-0.0037623346,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,536,40920,0.040975623,0.054151114,655,-0.013175491,15.0,0.0,5.0,4.0,0.0003578551,-0.00017035007,0.0005282052,-3.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,537,40924,0.069005735,0.05288489,260,0.016120844,1.0,1.0,1.0,1.0,-0.0067240223,-0.0014668703,-0.005257152,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,538,40935,0.03864165,0.04884269,788,-0.010201041,11.0,0.0,4.454545454545454,4.0,-0.0077191778,-0.0023879893,-0.0053311884,8.0,-0.2727272727272727,0,0
7,cycle44_subj07_margin_low_1sess_150ep,539,40979,0.032266036,0.036732078,200,-0.004466042,4.0,0.125,2.0,2.0,-0.007415343,-0.008935396,0.0015200526,2.0,-0.5,0,0
7,cycle44_subj07_margin_low_1sess_150ep,540,41056,0.057826184,0.048917595,867,0.008908588,1.0,1.0,1.0,1.0,-0.00054498017,0.00030824915,-0.0008532293,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,541,41097,0.058150195,0.060210746,50,-0.0020605512,3.0,0.6666666666666666,1.3333333333333333,1.0,-0.006702982,-0.0050230883,-0.0016798936,1.0,-0.33333333333333337,0,0
7,cycle44_subj07_margin_low_1sess_150ep,542,41116,0.045868617,0.043079842,708,0.0027887747,1.0,1.0,1.0,1.0,-0.0045418516,-0.0046054386,6.358698e-05,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,543,41137,0.06718764,0.051429104,449,0.015758533,1.0,1.0,1.0,1.0,-0.0010060072,-0.002071809,0.0010658018,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,544,41162,0.04497947,0.04683687,75,-0.0018573999,2.0,0.875,1.125,1.0,-0.008535262,-0.006069787,-0.0024654754,1.0,-0.125,1,0
7,cycle44_subj07_margin_low_1sess_150ep,545,41482,0.060206015,0.044993255,828,0.015212759,1.0,1.0,1.0,1.0,-0.0041236915,-0.005835898,0.0017122068,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,546,41566,0.041880645,0.051852312,886,-0.009971667,7.0,0.16666666666666666,3.1666666666666665,3.5,-0.004556872,-0.0010760799,-0.003480792,1.0,0.16666666666666666,0,0
7,cycle44_subj07_margin_low_1sess_150ep,547,41574,0.054422207,0.057087015,208,-0.0026648082,2.0,0.875,1.125,1.0,-0.0022422858,-0.00096426904,-0.0012780167,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,548,41623,0.032930326,0.04995414,580,-0.017023813,69.0,0.0,20.666666666666668,21.0,-0.003963489,-0.0033784173,-0.00058507174,17.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,549,41653,0.05160894,0.041393917,923,0.010215022,1.0,1.0,1.0,1.0,-0.0052750707,-0.0060899816,0.000814911,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,550,41710,0.042258535,0.047425948,208,-0.0051674135,7.0,0.0,3.25,3.0,-0.003923781,-0.0045878068,0.00066402555,3.0,-0.5,0,0
7,cycle44_subj07_margin_low_1sess_150ep,551,41778,0.04216569,0.048080754,75,-0.0059150644,3.0,0.375,1.625,2.0,-0.0010410994,-0.006570637,0.005529538,-3.0,0.25,0,0
7,cycle44_subj07_margin_low_1sess_150ep,552,41814,0.048483737,0.05155374,153,-0.0030700043,2.0,0.8,1.2,1.0,-0.0037243292,-0.0066912286,0.0029668994,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,553,41927,0.06034325,0.051422898,162,0.008920353,1.0,1.0,1.0,1.0,-0.0015299246,-0.009066887,0.0075369626,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,554,41934,0.056337334,0.050491896,545,0.0058454387,1.0,1.0,1.0,1.0,0.000104390085,-0.0004963018,0.0006006919,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,555,42007,0.025976349,0.039587706,990,-0.013611358,22.0,0.0,7.9,7.0,-0.0063615516,0.00028287992,-0.0066444315,11.0,0.0,0,0
