subject,eval_index,nsd_image_id,prior0_image_rank,prior_low_image_rank,image_rank_delta_prior_low_minus_prior0,prior0_brain_rank,prior_low_brain_rank,brain_rank_delta_prior_low_minus_prior0,image_score_delta_prior_low_minus_prior0,brain_score_delta_prior_low_minus_prior0,flat_norm_delta_prior_low_minus_prior0,mean_token_norm_delta_prior_low_minus_prior0,brain_margin_hardest_delta_prior_low_minus_prior0,image_margin_hardest_delta_prior_low_minus_prior0,brain_margin_top5_delta_prior_low_minus_prior0,image_margin_top5_delta_prior_low_minus_prior0,blurry_pixcorr_prior0,blurry_pixcorr_prior_low,blurry_pixcorr_delta_prior_low_minus_prior0,recons_pixcorr_prior0,recons_pixcorr_prior_low,recons_pixcorr_delta_prior_low_minus_prior0,enhanced_pixcorr_prior0,enhanced_pixcorr_prior_low,enhanced_pixcorr_delta_prior_low_minus_prior0,enhanced_evalmix_pixcorr_prior0,enhanced_evalmix_pixcorr_prior_low,enhanced_evalmix_pixcorr_delta_prior_low_minus_prior0
7,591,43820,2.0,50.0,48.0,3.0,2.0,-1.0,0.019883737,0.019883737,-19.494537,-0.14541626,0.0057786778,-0.015838679,0.0014069155,-0.016822036,0.38521072,0.20786932,-0.1773414,0.1014467,0.40013123,0.29868454,0.09967701,0.40719134,0.3075143,0.14933987,0.4143611,0.2650212
7,592,43852,20.0,143.0,123.0,1.0,1.0,0.0,0.027522016,0.027522016,2.173462,0.8822441,-0.001994662,-0.020972136,-0.0021771137,-0.017898515,0.5783827,0.7225356,0.14415294,0.13118295,0.3834382,0.25225526,0.12558654,0.39392987,0.26834333,0.1830048,0.45332968,0.2703249
7,593,43950,1.0,1.0,0.0,1.0,1.0,0.0,0.03857775,0.03857775,-42.922028,-1.3855839,0.006223835,-0.0062735677,0.0038006715,-0.006564524,0.37664536,0.46744114,0.090795785,0.30781832,0.5085393,0.200721,0.3274219,0.55070746,0.22328556,0.3513272,0.5683385,0.2170113
7,594,43984,1.0,16.0,15.0,1.0,1.0,0.0,0.017713007,0.017713007,-91.30344,-3.9000301,-0.0027685836,-0.016650364,-0.0034667142,-0.02281129,-0.05841894,-0.05372284,0.004696101,-0.062884755,0.006652343,0.069537096,-0.07414945,-0.031526305,0.042623147,-0.0801518,-0.03843333,0.041718468
7,595,44052,1.0,158.0,157.0,1.0,1.0,0.0,0.013088424,0.013088424,-18.72757,-0.6356621,0.0016113818,-0.03598698,0.00028000772,-0.034483504,0.5604441,0.42959198,-0.13085213,0.56259173,0.44106904,-0.121522695,0.5707088,0.45299315,-0.11771566,0.6042734,0.48099723,-0.123276144
7,596,44097,2.0,53.0,51.0,1.0,1.0,0.0,0.013298754,0.013298754,-22.619781,-0.57966805,-0.0051789545,-0.022457916,-0.007075712,-0.023444328,0.21119192,0.21501549,0.0038235635,0.018180823,0.08753959,0.069358766,0.022588845,0.068923086,0.04633424,0.054856572,0.09499532,0.040138748
7,597,44107,26.0,550.0,524.0,2.0,5.0,3.0,0.0058303215,0.0058303215,-16.572906,0.18374634,0.00045633316,-0.04367449,-0.0024284385,-0.035913203,0.05350948,-0.0053984094,-0.05890789,0.12142592,0.30487004,0.18344411,0.075627014,0.28055775,0.20493074,0.080920696,0.27997452,0.19905382
7,598,44138,2.0,10.0,8.0,1.0,1.0,0.0,0.024654362,0.024654362,-11.220612,0.095926285,-0.0077825263,-0.0021809377,-0.0068365075,-0.011917565,0.3479652,0.30719456,-0.04077065,0.25532836,0.19758289,-0.05774547,0.26324716,0.22919902,-0.03404814,0.29299724,0.25614884,-0.036848396
7,599,44144,20.0,242.0,222.0,4.0,6.0,2.0,0.015283033,0.015283033,-24.759583,-0.7144489,-0.0012915246,-0.024479154,-0.00087840855,-0.02233582,0.15223528,0.118307434,-0.03392785,-0.07663984,0.033948585,0.110588424,-0.07596607,0.023194212,0.099160284,-0.05324663,0.0379842,0.091230825
7,600,44184,3.0,48.0,45.0,1.0,1.0,0.0,0.02701784,0.02701784,-17.33319,-0.32549095,-0.0019111596,-0.020387098,-0.0009122528,-0.01920304,0.24407494,0.36160251,0.117527574,0.30639777,0.41631982,0.10992205,0.30820146,0.418504,0.11030254,0.31561977,0.44298437,0.1273646
